Date,High,Low,Open,Close,Volume,Adj Close,chg
2018-01-03,2714.370117,2697.77002,2697.850098,2713.060059,3538660000,2713.060059,0.075674436
2018-01-04,2729.290039,2719.070068,2719.310059,2723.98999,3695260000,2723.98999,0.230367182
2018-01-05,2743.449951,2727.919922,2731.330078,2743.149902,3236620000,2743.149902,0.269460898
2018-01-08,2748.51001,2737.600098,2742.669922,2747.709961,3242650000,2747.709961,-0.01749742
2018-01-09,2759.139893,2747.860107,2751.149902,2751.290039,3453480000,2751.290039,0.125193032
2018-01-10,2750.800049,2736.060059,2745.550049,2748.22998,3576350000,2748.22998,-0.208629049
2018-01-11,2767.560059,2752.780029,2752.969971,2767.560059,3641320000,2767.560059,0.172474293
2018-01-12,2787.850098,2769.639893,2770.179932,2786.23999,3573970000,2786.23999,0.094663638
2018-01-16,2807.540039,2768.639893,2798.959961,2776.419922,4325970000,2776.419922,0.456528179
2018-01-17,2807.040039,2778.379883,2784.98999,2802.560059,3778050000,2802.560059,0.308673349
2018-01-18,2805.830078,2792.560059,2802.399902,2798.030029,3681470000,2798.030029,-0.005714641
2018-01-19,2810.330078,2798.080078,2802.600098,2810.300049,3639430000,2810.300049,0.163331641
2018-01-22,2833.030029,2808.120117,2809.159912,2832.969971,3471780000,2832.969971,-0.040569928
2018-01-23,2842.23999,2830.590088,2835.050049,2839.129883,3519650000,2839.129883,0.073423938
2018-01-24,2852.969971,2824.810059,2845.419922,2837.540039,4014070000,2837.540039,0.221548126
2018-01-25,2848.560059,2830.939941,2846.23999,2839.25,3835150000,2839.25,0.306601882
2018-01-26,2872.870117,2846.179932,2847.47998,2872.870117,3443230000,2872.870117,0.289864593
2018-01-29,2870.620117,2851.47998,2867.22998,2853.530029,3573830000,2853.530029,-0.196324111
2018-01-30,2837.75,2818.27002,2832.73999,2822.429932,3990650000,2822.429932,-0.72857264
2018-01-31,2839.26001,2813.040039,2832.409912,2823.810059,4261280000,2823.810059,0.353595331
2018-02-01,2835.959961,2812.699951,2816.449951,2821.97998,3938450000,2821.97998,-0.260644564
2018-02-02,2808.919922,2759.969971,2808.919922,2762.129883,4301130000,2762.129883,-0.462797705
2018-02-05,2763.389893,2638.169922,2741.060059,2648.939941,5283460000,2648.939941,-0.76281077
2018-02-06,2701.040039,2593.070068,2614.780029,2695.139893,5891660000,2695.139893,-1.289569143
2018-02-07,2727.669922,2681.330078,2690.949951,2681.659912,4626570000,2681.659912,-0.155462854
2018-02-08,2685.27002,2580.560059,2685.01001,2581,5305440000,2581,0.124926268
2018-02-09,2638.669922,2532.689941,2601.780029,2619.550049,5680070000,2619.550049,0.805115432
2018-02-12,2672.610107,2622.449951,2636.75,2656,4055790000,2656,0.656599448
2018-02-13,2668.840088,2637.080078,2646.27002,2662.939941,3472870000,2662.939941,-0.366339626
2018-02-14,2702.100098,2648.870117,2651.209961,2698.629883,4003740000,2698.629883,-0.440489862
2018-02-15,2731.51001,2689.820068,2713.459961,2731.199951,3684910000,2731.199951,0.549541018
2018-02-16,2754.419922,2725.110107,2727.139893,2732.219971,3637460000,2732.219971,-0.148654755
2018-02-20,2737.600098,2706.76001,2722.98999,2716.26001,3627610000,2716.26001,-0.337819816
2018-02-21,2747.75,2701.290039,2720.530029,2701.330078,3779400000,2701.330078,0.157202165
2018-02-22,2731.26001,2697.77002,2710.419922,2703.959961,3701270000,2703.959961,0.336495115
2018-02-23,2747.76001,2713.73999,2715.800049,2747.300049,3189190000,2747.300049,0.437879557
2018-02-26,2780.639893,2753.780029,2757.370117,2779.600098,3424650000,2779.600098,0.366544177
2018-02-27,2789.149902,2744.219971,2780.449951,2744.280029,3745080000,2744.280029,0.030574669
2018-02-28,2761.52002,2713.540039,2753.780029,2713.830078,4230660000,2713.830078,0.346174585
2018-03-01,2730.889893,2659.649902,2715.219971,2677.669922,4503970000,2677.669922,0.051215166
2018-03-02,2696.25,2647.320068,2658.889893,2691.25,3882450000,2691.25,-0.701357144
2018-03-05,2728.090088,2675.75,2681.060059,2720.939941,3710810000,2720.939941,-0.378632286
2018-03-06,2732.080078,2711.26001,2730.179932,2728.120117,3370690000,2728.120117,0.339588173
2018-03-07,2730.600098,2701.73999,2710.179932,2726.800049,3393270000,2726.800049,-0.65760248
2018-03-08,2740.449951,2722.649902,2732.75,2738.969971,3212320000,2738.969971,0.218202694
2018-03-09,2786.570068,2751.540039,2752.909912,2786.570068,3364100000,2786.570068,0.508948311
2018-03-12,2796.97998,2779.26001,2790.540039,2783.02002,3185020000,2783.02002,0.142468002
2018-03-13,2801.899902,2758.679932,2792.310059,2765.310059,3301650000,2765.310059,0.333811435
2018-03-14,2777.110107,2744.379883,2774.060059,2749.47998,3391360000,2749.47998,0.316420214
2018-03-15,2763.030029,2741.469971,2754.27002,2747.330078,3500330000,2747.330078,0.174216183
2018-03-16,2761.850098,2749.969971,2750.570068,2752.01001,5372340000,2752.01001,0.117932325
2018-03-19,2741.379883,2694.590088,2741.379883,2712.919922,3302130000,2712.919922,-0.386267743
2018-03-20,2724.219971,2710.050049,2715.050049,2716.939941,3261030000,2716.939941,0.078517871
2018-03-21,2739.139893,2709.790039,2714.98999,2711.929932,3415510000,2711.929932,-0.071770124
2018-03-22,2695.679932,2641.590088,2691.360107,2643.689941,3739800000,2643.689941,-0.758493941
2018-03-23,2657.669922,2585.889893,2646.709961,2588.26001,3815080000,2588.26001,0.114235012
